invoice_no,customer_id,invoice_date,country,customer_segment,category,quantity,unit_price,total_price
INV216739,C01713,2024-10-16,Singapore,Premium,Home & Living,6,838300.0,5029600.0
INV877572,C02079,2023-01-26,Indonesia,Regular,Home & Living,1,150600.0,150600.0
INV356787,C01839,2023-10-09,Malaysia,Regular,Home & Living,3,168400.0,505100.0
INV246316,C03161,2023-08-17,Malaysia,Regular,Toys,1,283400.0,283400.0
INV809570,C00558,2023-04-15,Indonesia,Regular,Home & Living,1,378100.0,378100.0
INV191161,C01101,2024-07-12,Indonesia,Regular,Home & Living,6,134700.0,808500.0
INV542417,C00032,2024-08-27,Indonesia,Regular,Beauty,1,327300.0,327300.0
INV329258,C02738,2023-02-17,Indonesia,Budget,Beauty,2,33900.0,67900.0
INV629903,C02691,2023-08-27,Indonesia,Regular,Food & Beverage,1,294800.0,294800.0
INV127824,C02352,2024-09-08,Indonesia,Regular,Fashion,1,121200.0,121200.0
INV835392,C03975,2024-10-27,Thailand,Budget,Electronics,1,24700.0,24700.0
INV539898,C03141,2024-07-12,Philippines,Regular,Home & Living,1,194500.0,194500.0
INV571029,C02043,2023-08-14,Malaysia,Premium,Toys,2,2125200.0,4250500.0
INV391704,C00442,2024-08-26,Indonesia,Regular,Home & Living,1,228300.0,228300.0
INV895667,C02561,2023-01-07,Malaysia,Regular,Fashion,1,308700.0,308700.0
INV832052,C02760,2023-06-13,Singapore,Regular,Fashion,1,322000.0,322000.0
INV263032,C01085,2023-10-12,Singapore,Budget,Fashion,1,59800.0,59800.0
INV900581,C01740,2023-08-09,Malaysia,Regular,Fashion,1,321100.0,321100.0
INV207175,C02195,2023-12-11,Japan,Regular,Fashion,1,415400.0,415400.0
INV498382,C03968,2023-04-05,Vietnam,Regular,Electronics,1,199900.0,199900.0
INV733052,C00875,2023-06-26,Vietnam,Budget,Electronics,4,26200.0,104700.0
INV946335,C03717,2023-09-28,Thailand,Premium,Beauty,9,1307200.0,11764500.0
INV662275,C02149,2023-08-24,Malaysia,Budget,Home & Living,1,123300.0,123300.0
