customer_id,last_purchase,frequency,monetary,avg_order_value,total_quantity,first_purchase,n_categories,country,customer_segment,recency,customer_lifespan_days,purchase_frequency_rate,log_monetary,log_frequency,log_avg_order,churned,country_enc,segment_enc
C00001,2024-11-03,17,3849600.0,226447.0588235294,47,2023-01-25,6,Indonesia,Budget,58,648,0.787037037037037,15.163480064529711,2.8903717578961645,12.330270876739755,0,1,0
C00002,2024-12-15,22,14245900.0,647540.9090909091,40,2023-01-05,8,Indonesia,Premium,16,710,0.9295774647887324,16.471979774177182,3.1354942159291497,13.380938794926017,0,1,1
C00003,2024-04-08,6,212800.0,35466.666666666664,10,2023-03-02,5,Singapore,Budget,267,403,0.4466501240694789,12.268112735686705,1.9459101490553132,10.476376762312809,1,5,0
C00004,2024-12-12,22,4608100.0,209459.0909090909,32,2023-01-02,8,Philippines,Regular,19,710,0.9295774647887324,15.343326399520437,3.1354942159291497,12.252288503343518,0,4,2
C00005,2024-12-08,10,3570600.0,357060.0,20,2023-07-27,5,Indonesia,Regular,23,500,0.6,15.088244486925934,2.3978952727983707,12.785661914512781,0,1,2
C00006,2024-12-22,15,19912700.0,1327513.3333333333,24,2023-02-02,7,Singapore,Premium,9,689,0.6531204644412192,16.806868327311452,2.772588722239781,14.098818829277857,0,5,1
C00007,2024-10-06,13,855300.0,65792.30769230769,22,2023-01-18,5,Malaysia,Budget,86,627,0.6220095693779905,13.659208732748594,2.6390573296152584,11.094273405337086,0,3,0
C00008,2024-11-04,12,57091400.0,4757616.666666667,37,2023-02-24,5,Singapore,Premium,57,619,0.5815831987075929,17.860164067839023,2.5649493574615367,15.375257610724502,0,5,1
C00009,2024-12-14,16,2494300.0,155893.75,29,2023-01-02,5,Indonesia,Budget,17,712,0.6741573033707865,14.72951908759488,2.833213344056216,11.956936379045867,0,1,0
C00010,2024-10-15,9,16018600.0,1779844.4444444445,13,2023-03-01,5,Indonesia,Premium,77,594,0.45454545454545453,16.58926116745157,2.302585092994046,14.39203708953462,0,1,1
C00011,2024-06-18,11,1890300.0,171845.45454545456,24,2023-02-04,5,Indonesia,Regular,196,500,0.6599999999999999,14.452246633614674,2.4849066497880004,12.054356650965095,1,1,2
C00012,2024-07-27,12,7458400.0,621533.3333333334,36,2023-01-15,6,Indonesia,Regular,157,559,0.6440071556350626,15.824851606041626,2.5649493574615367,13.339946431099493,1,1,2
C00013,2024-12-31,14,55029300.0,3930664.285714286,24,2023-01-23,7,Malaysia,Premium,0,708,0.5932203389830508,17.823376346792813,2.70805020110221,15.184319253415307,0,3,1
C00014,2024-05-11,7,639000.0,91285.71428571429,9,2023-02-12,5,Australia,Budget,234,454,0.4625550660792952,13.367661298303675,2.0794415416798357,11.421760538860946,1,0,0
C00015,2024-07-30,9,5575600.0,619511.1111111111,15,2023-02-21,4,Indonesia,Premium,154,525,0.5142857142857142,15.533910672190746,2.302585092994046,13.336687529676398,1,1,1
C00016,2024-12-19,13,9114000.0,701076.9230769231,24,2023-02-06,7,Indonesia,Regular,12,682,0.5718475073313782,16.025322360527266,2.6390573296152584,13.460374319720414,0,1,2
C00017,2024-11-29,18,3530200.0,196122.22222222222,28,2023-01-27,6,Indonesia,Regular,32,672,0.8035714285714286,15.076865367798344,2.9444389791664403,12.186498425480407,0,1,2
C00018,2024-07-04,9,1467000.0,163000.0,15,2023-03-25,4,Indonesia,Budget,180,467,0.5781584582441114,14.198730738788145,2.302585092994046,12.001511614739405,1,1,0
C00019,2024-06-09,12,1234800.0,102900.0,16,2023-02-16,4,Indonesia,Budget,205,479,0.7515657620041754,14.026420381457562,2.5649493574615367,11.541522639947903,1,1,0
C00020,2024-12-12,14,21460100.0,1532864.2857142857,21,2023-02-02,7,Philippines,Premium,19,679,0.6185567010309279,16.88170600158632,2.70805020110221,14.242649277746219,0,4,1
C00021,2024-12-04,14,5209300.0,372092.85714285716,33,2023-02-25,5,Vietnam,Regular,27,648,0.6481481481481481,15.465956239661434,2.70805020110221,12.82690140557941,0,7,2
C00022,2024-11-02,10,9940300.0,994030.0,33,2023-03-25,5,Indonesia,Regular,59,588,0.5102040816326531,16.112107859864416,2.3978952727983707,13.809523672275139,0,1,2
C00023,2024-11-18,20,4295500.0,214775.0,36,2023-03-03,7,Vietnam,Regular,43,626,0.9584664536741214,15.27307875386199,3.044522437723423,12.277350903530804,0,7,2
C00024,2024-10-19,14,4987900.0,356278.5714285714,18,2023-01-26,5,Thailand,Regular,73,632,0.6645569620253164,15.422525737950775,2.70805020110221,12.783471014638861,0,6,2
C00025,2024-12-11,10,1485200.0,148520.0,19,2023-01-22,4,Malaysia,Regular,20,689,0.4354136429608128,14.211060674594828,2.3978952727983707,11.908481641368269,0,3,2
C00026,2024-12-20,7,3894300.0,556328.5714285715,21,2023-03-10,4,Indonesia,Regular,11,651,0.3225806451612903,15.17502476033472,2.0794415416798357,13.229116151991175,0,1,2
C00027,2024-07-16,15,5803000.0,386866.6666666667,25,2023-01-08,6,Vietnam,Regular,168,555,0.8108108108108109,15.57388575549739,2.772588722239781,12.86583796693709,1,7,2
C00028,2024-08-26,12,21351100.0,1779258.3333333333,29,2023-02-23,4,Indonesia,Premium,127,550,0.6545454545454545,16.876613865395917,2.5649493574615367,14.3917077308037,1,1,1
C00029,2024-07-14,9,1140800.0,126755.55555555556,15,2023-02-05,5,Australia,Budget,170,525,0.5142857142857142,13.947241205219624,2.302585092994046,11.75002364047539,1,0,0
C00030,2024-09-13,12,48553600.0,4046133.3333333335,23,2023-01-31,4,Philippines,Premium,109,591,0.6091370558375635,17.698178920908855,2.5649493574615367,15.21327249767457,1,4,1
C00031,2024-10-30,14,902400.0,64457.142857142855,21,2023-01-02,6,Philippines,Budget,62,667,0.6296851574212893,13.712814267881345,2.70805020110221,11.073771344174727,0,4,0
C00032,2024-12-07,17,9325600.0,548564.7058823529,23,2023-01-06,7,Indonesia,Regular,24,701,0.7275320970042796,16.04827397181946,2.8903717578961645,13.215062343468889,0,1,2
C00033,2024-08-10,16,7909600.0,494350.0,32,2023-01-28,5,Indonesia,Regular,143,560,0.8571428571428571,15.883587895993696,2.833213344056216,13.111001070181532,1,1,2
C00034,2024-12-20,11,9161000.0,832818.1818181818,24,2023-05-16,5,Indonesia,Regular,11,584,0.565068493150685,16.030466010155727,2.4849066497880004,13.63257182894053,0,1,2
C00035,2024-09-19,16,1675200.0,104700.0,35,2023-01-21,5,Malaysia,Budget,103,607,0.7907742998352553,14.33144371604188,2.833213344056216,11.558863947911393,1,3,0
C00036,2024-12-08,11,4629700.0,420881.8181818182,18,2023-02-10,5,Australia,Regular,23,667,0.4947526236881559,15.348002845143421,2.4849066497880004,12.95010973230942,0,0,2
C00037,2024-12-15,8,28727500.0,3590937.5,19,2023-05-23,5,Indonesia,Premium,16,572,0.4195804195804196,17.173365444923775,2.1972245773362196,15.09392414691286,0,1,1
C00038,2024-12-04,9,6832400.0,759155.5555555555,18,2023-03-13,5,Indonesia,Regular,27,632,0.4272151898734177,15.737186707107487,2.302585092994046,13.539963300662045,0,1,2
C00039,2024-09-05,10,12399900.0,1239990.0,30,2023-03-12,5,Indonesia,Regular,117,543,0.5524861878453038,16.333199046672426,2.3978952727983707,14.030614679490364,1,1,2
C00040,2024-12-14,16,1435600.0,89725.0,33,2023-01-06,6,Thailand,Budget,17,708,0.6779661016949152,14.177094134828208,2.833213344056216,11.404515861119485,0,6,0
C00041,2024-08-24,13,6630800.0,510061.53846153844,25,2023-03-04,6,Indonesia,Regular,129,539,0.7235621521335808,15.707236169344203,2.6390573296152584,13.142288621617137,1,1,2
C00042,2024-09-22,12,949900.0,79158.33333333333,22,2023-03-12,6,Indonesia,Budget,100,560,0.6428571428571428,13.764113047620114,2.5649493574615367,11.279217977919206,1,1,0
C00043,2024-10-30,12,3997100.0,333091.6666666667,14,2023-02-14,5,Indonesia,Regular,62,624,0.5769230769230769,15.20107990632592,2.5649493574615367,12.71617600852864,0,1,2
C00044,2024-11-22,12,8124100.0,677008.3333333334,26,2023-04-09,7,Malaysia,Regular,39,593,0.6070826306913997,15.910345633904491,2.5649493574615367,13.425440338111544,0,3,2
C00045,2024-09-03,14,9019000.0,644214.2857142857,26,2023-02-01,5,Thailand,Regular,119,580,0.7241379310344828,16.014844132024876,2.70805020110221,13.375788243809906,1,6,2
C00046,2024-12-04,9,36015300.0,4001700.0,19,2023-06-19,5,Indonesia,Premium,27,534,0.5056179775280899,17.399454433899443,2.302585092994046,15.20223007869101,0,1,1
C00047,2024-12-08,18,12759600.0,708866.6666666666,37,2023-01-29,6,Indonesia,Regular,23,679,0.7952871870397644,16.36179456579954,2.9444389791664403,13.471424140232548,0,1,2
C00048,2024-10-27,8,1276600.0,159575.0,12,2023-05-14,5,Malaysia,Regular,65,532,0.45112781954887216,14.059711635134509,2.1972245773362196,11.980275576750401,0,3,2
C00049,2024-09-07,14,4401800.0,314414.28571428574,23,2023-01-15,5,Vietnam,Regular,115,601,0.6988352745424292,15.297524333322473,2.70805020110221,12.658469957039454,1,7,2
C00050,2024-11-11,14,2489800.0,177842.85714285713,28,2023-02-10,6,Thailand,Budget,50,640,0.65625,14.727713345568429,2.70805020110221,12.088661237240357,0,6,0
C00051,2024-11-19,15,17503700.0,1166913.3333333333,31,2023-01-11,7,Singapore,Premium,42,678,0.663716814159292,16.677922902248078,2.772588722239781,13.969873500976394,0,5,1
C00052,2024-12-21,12,8636200.0,719683.3333333334,16,2023-03-03,4,Singapore,Premium,10,659,0.5462822458270107,15.97147334501018,2.5649493574615367,13.486567968929565,0,5,1
C00053,2024-10-24,14,29566200.0,2111871.4285714286,23,2023-03-02,6,Indonesia,Premium,68,602,0.6976744186046512,17.202142408769518,2.70805020110221,14.563085518845417,0,1,1
C00054,2024-12-27,11,7543200.0,685745.4545454546,27,2023-06-07,5,Singapore,Regular,4,569,0.5799648506151143,15.836157185703328,2.4849066497880004,13.43826323860122,0,5,2
C00055,2024-04-10,13,2627600.0,202123.07692307694,41,2023-01-03,7,Indonesia,Budget,265,463,0.8423326133909287,14.781581820575813,2.6390573296152584,12.21663703000727,1,1,0
C00056,2024-10-25,11,1811300.0,164663.63636363635,16,2023-02-24,7,Singapore,Regular,67,609,0.541871921182266,14.409555929570516,2.4849066497880004,12.011666177650449,0,5,2
C00057,2024-12-22,15,12160800.0,810720.0,31,2023-02-19,6,Indonesia,Regular,9,672,0.6696428571428572,16.313728304043376,2.772588722239781,13.605679254180458,0,1,2
C00058,2024-12-22,12,13171700.0,1097641.6666666667,32,2023-04-17,5,Vietnam,Regular,9,615,0.5853658536585366,16.393581222554793,2.5649493574615367,13.908675407890168,0,7,2
